manuscript,authors,affiliation,year,journal
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Quaglia F.,University of Naples Federico II,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Brocca P.,University of Milano,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,d'Angelo I.,University of Campania Luigi Vanvitelli,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Merkel O.M.,Ludwig-Maximilians-Universität,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Ungaro F.,University of Naples Federico II,2022,ACS Applied Materials and Interfaces
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Costabile G.,Gabri,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Mitidieri E.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Visaggio D.,University Roma Tre,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Provenzano R.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Miro A.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Quaglia F.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,d’Angelo I.,University of Campania Luigi Vanvitelli,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Frangipani E.,University of Urbino Carlo Bo,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Sorrentino R.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Visca P.,University Roma Tre,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,d’Emmanuele di Villa Bianca R.,University of Naples Federico II,2022,International Journal of Pharmaceutics
Boosting Lung Accumulation Of Gallium With Inhalable Nano-Embedded Microparticles For The Treatment Of Bacterial Pneumonia,Ungaro F.,University of Naples Federico II,2022,International Journal of Pharmaceutics
