manuscript,authors,affiliation,year,journal
"Particle surfaces to study macrophage adherence, migration, and clearance",Spiaggia G.,Adolphe Merkle Institute,2020,Advanced Functional Materials
"Particle surfaces to study macrophage adherence, migration, and clearance",Abdussalam W.,Helmholtz-Zentrum Dresden-Rossendorf,2020,Advanced Functional Materials
"Particle surfaces to study macrophage adherence, migration, and clearance",Rodriguez-Lorenzo L.,Adolphe Merkle Institute,2020,Advanced Functional Materials
"Particle surfaces to study macrophage adherence, migration, and clearance",Taladriz-Blanco P.,Adolphe Merkle Institute,2020,Advanced Functional Materials
"Particle surfaces to study macrophage adherence, migration, and clearance",Rothen-Rutishauser B.,Adolphe Merkle Institute,2020,Advanced Functional Materials
"Particle surfaces to study macrophage adherence, migration, and clearance",Petri-Fink A.,Adolphe Merkle Institute,2020,Advanced Functional Materials
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Manghnani P.N.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Di Francesco V.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Panella La Capria C.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Schlich M.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Miali M.E.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Moore T.L.,Me,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Zunino A.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Duocastella M.,Universitat de Barcelona,2022,Journal of Colloid and Interface Science
Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,Decuzzi P.,Istituto Italiano di Tecnologia,2022,Journal of Colloid and Interface Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Cook A.,Istituto Italiano di Tecnologia,2022,Journal of Polymer Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Schlich M.,Istituto Italiano di Tecnologia,2022,Journal of Polymer Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Manghnani P.N.,Istituto Italiano di Tecnologia,2022,Journal of Polymer Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Moore T.L.,Me,2022,Journal of Polymer Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Decuzzi P.,Istituto Italiano di Tecnologia,2022,Journal of Polymer Science
Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,Palange A.L.,Istituto Italiano di Tecnologia,2022,Journal of Polymer Science
Shape-specific microfabricated particles for biomedical applications: a review,Moore T.L.,Me,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Cook A.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Belotti E.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Palomba R.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Manghnani P.N.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Spanò R.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Brahmachari S.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Di Francesco M.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Palange A.L.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Di Mascolo D.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Shape-specific microfabricated particles for biomedical applications: a review,Decuzzi P.,Istituto Italiano di Tecnologia,2022,Drug Delivery and Translational Research
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Palange A.L.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Di Mascolo D.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Ferreira M.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Gawne P.J.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Spanò R.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Felici A.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Bono L.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Moore T.L.,Me,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Salerno M.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Amirotti A.,Istituto Italiano di Tecnologia,2023,Advanced Science
Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,Decuzzi P.,Istituto Italiano di Tecnologia,2023,Advanced Science
